"Application #","Status","Application Type","Date","Address","Expiration Date","Short Notes",
"26BC09417","Issued","RES Doors-Windows-Shutters","05/27/2026","2535 STATE ST, MELBOURNE FL 32904",,,
"26BC09425","Issued","RES Doors-Windows-Shutters","05/27/2026","1801 ABBEYRIDGE DR, MERRITT ISLAND FL 32953",,,
"26BC09453","Issued","RES Doors-Windows-Shutters","05/27/2026","2145 CAPEVIEW ST, MERRITT ISLAND FL 32952",,,
"26BC09483","Awaiting Client Feedback","RES Mobile Home","05/27/2026","420 LOQUAT DR, BAREFOOT BAY FL 32976",,,
"26BC09405","Awaiting Client Feedback","RES SFR Aluminum Structure","05/27/2026","8939 SHORELINE AVE, MELBOURNE FL 32940",,,
"26BC09426","Issued","RES Doors-Windows-Shutters","05/27/2026","406 NAUTILUS DR, SATELLITE BEACH FL 32937",,,
"26BC09356","Final","RES Doors-Windows-Shutters","05/27/2026","270 QUAIL DR, MERRITT ISLAND FL 32953",,,
"26BC09408","Final","RES Reroof","05/27/2026","5555 CORD GRASS LN, MELBOURNE BEACH FL 32951",,,
"26BC09361","Issued","RES Generator","05/27/2026","5000 GANDY RD, MIMS FL 32754",,,
"26BC09400","Issued","RES Doors-Windows-Shutters","05/27/2026","2412 ADDINGTON CIR, ROCKLEDGE FL 32955",,,
"26BC09411","Final","RES Reroof","05/27/2026","3393 RUSS PL, MELBOURNE FL 32940",,,
"26BC09458","Issued","RES Doors-Windows-Shutters","05/27/2026","1020 MAYFLOWER AVE, MELBOURNE FL 32940",,,
"26BC09397","Final","RES HVAC-Mechanical","05/27/2026","2060 BONITA AVE, MELBOURNE BEACH FL 32951",,,
"26BC09474","Awaiting Client Feedback","RES Doors-Windows-Shutters","05/27/2026","2922 EMELDI LN, MELBOURNE FL 32940",,,
"26BC09422","Issued","RES Doors-Windows-Shutters","05/27/2026","1212 HARBOR TOWN CIR, MELBOURNE FL 32940",,,
"26BC09366","Final","RES Fence","05/27/2026","231 SEAVIEW ST, MELBOURNE BEACH FL 32951",,,
"26BC09482","Issued","RES Pool Resurface","05/27/2026","4446 FOUR LAKES DR, MELBOURNE FL 32940",,,
"26BC09401","Awaiting Client Feedback","RES SFR Renovation","05/27/2026","4800 PALM AVE, COCOA FL 32926",,,
"26BC09459","Issued","RES Reroof","05/27/2026","4387 PONDAPPLE DR, TITUSVILLE FL 32796",,,
"26BC09436","Issued","RES Doors-Windows-Shutters","05/27/2026","4381 LIGUSTRUM DR, MELBOURNE FL 32934",,,
"26BC09372","Final","RES Fence","05/27/2026","3990 AIRLIFT ST, COCOA FL 32927",,,
"26BC09472","Awaiting Client Feedback","RES Doors-Windows-Shutters","05/27/2026","1033 WILD FLOWER DR, MELBOURNE FL 32940",,,
"26BC09444","Issued","RES Doors-Windows-Shutters","05/27/2026","8850 INDIANA AVE, MELBOURNE FL 32904",,,
"26BC09430","Issued","RES Doors-Windows-Shutters","05/27/2026","408 PORT ROYAL BLVD, SATELLITE BEACH FL 32937",,,
"26BC09390","Issued","RES Doors-Windows-Shutters","05/27/2026","448 FINCH DR, SATELLITE BEACH FL 32937",,,
"26BC09418","Issued","RES Doors-Windows-Shutters","05/27/2026","4618 SOUTH FRIDAY CIR, COCOA FL 32926",,,
"26BC09359","Final","RES HVAC-Mechanical","05/27/2026","74 PINEHILL DR, INDIALANTIC FL 32903",,,
"26BC09382","Final","RES HVAC-Mechanical","05/27/2026","1284 COVENTRY CIR, MELBOURNE FL 32904",,,
"26BC09429","Issued","RES Doors-Windows-Shutters","05/27/2026","435 FOOTMAN LN, MERRITT ISLAND FL 32952",,,
"26BC09362","Issued","RES Generator","05/27/2026","3075 LANTERN CT, TITUSVILLE FL 32796",,,
"26BC09407","Final","RES HVAC-Mechanical","05/27/2026","6255 CAPSTAN CT, ROCKLEDGE FL 32955",,,
"26BC09428","Issued","RES Doors-Windows-Shutters","05/27/2026","863 CARRIAGE HILL RD, MELBOURNE FL 32940",,,
"26BC09477","Final","RES Reroof","05/27/2026","1003 FIELDSTONE DR, MELBOURNE FL 32940",,,
"26BC09384","Final","RES Plumbing","05/27/2026","6087 BALSAM ST, COCOA FL 32927",,,
"26BC09473","Issued","Multi-Family Renovation","05/27/2026","420 HARDING AVE, UNIT 402, COCOA BEACH FL 32931",,,
"26BC09448","Issued","RES Doors-Windows-Shutters","05/27/2026","5725 EAGLE WAY, MERRITT ISLAND FL 32953",,,
"26BC09358","Issued","RES HVAC-Mechanical","05/27/2026","1020 HARBOR PINES DR, MERRITT ISLAND FL 32952",,,
"26BC09469","Final","RES Reroof","05/27/2026","1637 MINNIE ST, COCOA FL 32926",,,
"26BC09421","Issued","RES Doors-Windows-Shutters","05/27/2026","3455 SANSOME CIR, MELBOURNE FL 32940",,,
"26BC09402","Issued","COM Plumbing","05/27/2026","6770 RIDGEWOOD AVE, UNIT 705, COCOA BEACH FL 32931",,,
"26BC09435","Issued","RES HVAC-Mechanical","05/27/2026","1980 THESY DR, MELBOURNE FL 32940",,,
"26BC09393","Awaiting Client Feedback","RES Tiny House on Wheels","05/27/2026","309 RONALD ST, COCOA FL 32927",,,
"26BC09409","Issued","RES HVAC-Mechanical","05/27/2026","1030 ROCK SPRINGS DR, MELBOURNE FL 32940",,,
"26BC09353","Issued","RES Fence","05/27/2026","5260 PALOMINO DR, MELBOURNE FL 32934",,,
"26BC09486","Final","RES Generator","05/27/2026","1271 ROYAL FERN DR, MELBOURNE FL 32940",,,
"26BC09451","Issued","RES Doors-Windows-Shutters","05/27/2026","6865 HUNDRED ACRE DR, COCOA FL 32927",,,
"26BC09398","Final","RES HVAC-Mechanical","05/27/2026","4988 ALAMANDA DR, MELBOURNE FL 32940",,,
"26BC09434","Issued","RES Doors-Windows-Shutters","05/27/2026","4090 SHERIDAN AVE, COCOA FL 32926",,,
"26BC09431","Issued","RES Doors-Windows-Shutters","05/27/2026","626 ALAMANDA CT, INDIALANTIC FL 32903",,,
"26BC09420","Issued","RES Doors-Windows-Shutters","05/27/2026","235 STEWART DR, MERRITT ISLAND FL 32952",,,
"26BC09424","Issued","RES Doors-Windows-Shutters","05/27/2026","2885 APPALOOSA BLVD, MELBOURNE FL 32934",,,
"26BC09464","Issued","COM Miscellaneous","05/27/2026","500 CROCKETT BLVD, MERRITT ISLAND FL 32953",,,
"26BC09432","Issued","COM Renovation","05/27/2026","209 BALLYSHANNON ST, MELBOURNE BEACH FL 32951",,,
"26BC09374","Final","RES Fence","05/27/2026","7377 BLUEMINK LN, MELBOURNE FL 32940",,,
"26BC09457","Awaiting Client Feedback","RES Fence","05/27/2026","3087 N TEMPLE LN, ROCKLEDGE FL 32955",,,
"26BC09440","Issued","RES SFR Aluminum Structure","05/27/2026","4364 LONG LAKE RD, MELBOURNE FL 32934",,,
"26FP00253","Issued","City Fire Permit","05/27/2026","4356 FORTUNE PL, WEST MELBOURNE FL 32904",,,
"26BC09478","Issued","RES Pool Resurface","05/27/2026","825 MALLARD RD, COCOA FL 32926",,,
"26BC09370","Final","COM Electrical","05/27/2026","443 BLUE JAY LN, SATELLITE BEACH FL 32937",,,
"26BC09365","Issued","RES SFR Aluminum Structure","05/27/2026","5250 ANDOVER ST, COCOA FL 32927",,,
"26BC09377","Issued","RES HVAC-Mechanical","05/27/2026","1905 JACQUES DR, MELBOURNE FL 32940",,,
"26BC09470","Awaiting Client Feedback","RES Doors-Windows-Shutters","05/27/2026","5336 KIRKWALL CIR, MELBOURNE FL 32940",,,
"26BC09406","Issued","RES Pool Resurface","05/27/2026","1658 WESTPORT RD, MERRITT ISLAND FL 32952",,,
"26BC09376","Final","RES Reroof","05/27/2026","3838 HOLLISTEN CIR, MELBOURNE FL 32940",,,
"26BC09367","Final","RES Reroof","05/27/2026","5205 PERCHERON BLVD, MELBOURNE FL 32934",,,
"26BC09383","Issued","RES HVAC-Mechanical","05/27/2026","107 CARMEN ST, MELBOURNE BEACH FL 32951",,,
"26BC09363","Withdrawn","RES Plumbing","05/27/2026","6770 RIDGEWOOD AVE, UNIT 705, COCOA BEACH FL 32931",,,
"26BC09388","Issued","COM Renovation","05/27/2026","5455 N COURTENAY PKWY, MERRITT ISLAND FL 32953",,,
"26BC09360","Final","RES Electrical","05/27/2026","2431 SPUR DR, MELBOURNE FL 32940",,,
"26BC09443","Issued","RES Doors-Windows-Shutters","05/27/2026","6435 GENOA TRL, MELBOURNE FL 32940",,,
"26BC09438","Final","RES Doors-Windows-Shutters","05/27/2026","421 FINCH DR, SATELLITE BEACH FL 32937",,,
"26BC09446","Issued","COM Plumbing","05/27/2026","405 S COURTENAY PKWY, MERRITT ISLAND FL 32952",,,
"26BC09441","Final","RES Reroof","05/27/2026","997 BUCKTHORN TRL, MELBOURNE FL 32940",,,
"26BC09423","Issued","RES Doors-Windows-Shutters","05/27/2026","2600 N RIVERSIDE DR, INDIALANTIC FL 32903",,,
"26BC09387","Issued","RES Doors-Windows-Shutters","05/27/2026","1580 LAGO MAR DR, MELBOURNE FL 32940",,,
"26BC09476","Issued","RES HVAC-Mechanical","05/27/2026","3287 CORTONA DR, MELBOURNE FL 32940",,,
"26BC09381","Final","RES Doors-Windows-Shutters","05/27/2026","3791 SIERRA DR, MERRITT ISLAND FL 32953",,,
"26BC09427","Issued","RES Doors-Windows-Shutters","05/27/2026","5207 SOLWAY DR, MELBOURNE BEACH FL 32951",,,
"26BC09467","Final","RES Plumbing","05/27/2026","2985 DAMPIER DR, MELBOURNE FL 32940",,,
"26BC09375","Issued","RES Doors-Windows-Shutters","05/27/2026","1915 CHASE HAMMOCK RD, MERRITT ISLAND FL 32953",,,
"26BC09396","Issued","RES Pool","05/27/2026","8497 WALO DR, MELBOURNE FL 32940",,,
"26BC09454","Issued","RES Doors-Windows-Shutters","05/27/2026","1520 TIPPICANOE CT, MELBOURNE FL 32940",,,
"26BC09355","Final","COM Electrical","05/27/2026","5584 HIGHWAY A1A, CHARTER, MELBOURNE BEACH FL 32951",,,
"26BC09442","Issued","RES Electrical","05/27/2026","1809 ROSETINE ST, COCOA FL 32926",,,
"26FP00251","Issued","City Fire Permit","05/27/2026","4965 SUNRISE ESTATES DR, WEST MELBOURNE FL 32904",,,
"26BC09485","Issued","RES Doors-Windows-Shutters","05/27/2026","6767 HARTFORD RD, COCOA FL 32927",,,
"26BC09371","Issued","RES Doors-Windows-Shutters","05/27/2026","3759 LAKE ADELAIDE PL, ROCKLEDGE FL 32955",,,
"26BC09380","Issued","COM HVAC-Mechanical","05/27/2026","2825 BUSINESS CENTER BLVD, D 1, MELBOURNE FL 32940",,,
"26BC09357","Issued","RES Doors-Windows-Shutters","05/27/2026","1650 YATES DR, MERRITT ISLAND FL 32952",,,
"26BC09379","Final","COM Electrical","05/27/2026","3935 N HIGHWAY 1, COCOA FL 32926",,,
"26BC09404","Awaiting Client Feedback","RES SFR Aluminum Structure","05/27/2026","415 INDIAN BAY BLVD, MERRITT ISLAND FL 32953",,,
"26BC09445","Final","RES Doors-Windows-Shutters","05/27/2026","326 MYRTLEWOOD RD, MELBOURNE FL 32940",,,
"26BC09368","Final","RES HVAC-Mechanical","05/27/2026","420 HARDING AVE, UNIT 404, COCOA BEACH FL 32931",,,
"26BC09463","Final","RES HVAC-Mechanical","05/27/2026","6205 GRISSOM PKWY, COCOA FL 32927",,,
"26BC09481","Issued","RES Plumbing","05/27/2026","5101 DALEHURST DR, COCOA FL 32926",,,
"26BC09413","Withdrawn","RES Fence","05/27/2026","1080 ARON ST, COCOA FL 32927",,,
"26BC09456","Final","RES Reroof","05/27/2026","3338 CAPPIO DR, MELBOURNE FL 32940",,,
"26BC09410","Issued","COM HVAC-Mechanical","05/27/2026","199 HIGHWAY A1A, A212, SATELLITE BEACH FL 32937",,,
"26BC09439","Issued","RES Doors-Windows-Shutters","05/27/2026","4787 MERLOT DR, ROCKLEDGE FL 32955",,,
"26BC09449","Issued","RES Plumbing","05/27/2026","755 SANDGATE ST, MERRITT ISLAND FL 32953",,,
"26BC09392","Final","RES HVAC-Mechanical","05/27/2026","6136 MEGHAN DR, MELBOURNE FL 32940",,,
"26BC09466","Final","RES Reroof","05/27/2026","1595 ROSA ST, COCOA FL 32926",,,
"26BC09471","Awaiting Client Feedback","Multi-Family Renovation","05/27/2026","420 MOORE PARK LN, 203, MERRITT ISLAND FL 32952",,,
"26BC09452","Issued","RES Generator","05/27/2026","4791 HONEYRIDGE LN, MERRITT ISLAND FL 32952",,,
"26BC09403","Issued","RES SFR Aluminum Structure","05/27/2026","8689 TARPAN CT, MELBOURNE FL 32940",,,
"26BC09416","Issued","RES Doors-Windows-Shutters","05/27/2026","423 HIAWATHA WAY, MELBOURNE BEACH FL 32951",,,
"26BC09352","Final","RES HVAC-Mechanical","05/27/2026","475 FALMOUTH AVE, MERRITT ISLAND FL 32952",,,
"26BC09395","Issued","RES SFR Aluminum Structure","05/27/2026","3001 CAMBERLY CIR, MELBOURNE FL 32940",,,
"26BC09394","Final","RES HVAC-Mechanical","05/27/2026","1830 GULF CT, INDIALANTIC FL 32903",,,
"26BC09369","Issued","COM Miscellaneous","05/27/2026","2775 COLUMBIA BLVD, CELLTW, TITUSVILLE FL 32780",,,
"26BC09415","Issued","RES Doors-Windows-Shutters","05/27/2026","6899 HIGHWAY A1A, MELBOURNE BEACH FL 32951",,,
"26BC09389","Final","RES Reroof","05/27/2026","2810 AMETHYST WAY, MELBOURNE FL 32940",,,
"26BC09437","Awaiting Client Feedback","COM HVAC-Mechanical","05/27/2026","625 GLADIOLA DR, MERRITT ISLAND FL 32952",,,
"26BC09373","Issued","RES Fence","05/27/2026","9060 BORREGO WAY, MELBOURNE FL 32940",,,
"26BC09399","Issued","RES SFR Aluminum Structure","05/27/2026","1807 FOX BAY DR, MELBOURNE FL 32934",,,
"26BC09447","Awaiting Client Feedback","RES Solar Photovoltaic","05/27/2026","6109 MEGHAN DR, MELBOURNE FL 32940",,,
"26BC09412","Issued","RES HVAC-Mechanical","05/27/2026","7690 HIGHWAY 46, MIMS FL 32754",,,
"26BC09364","Awaiting Client Feedback","COM New Construction","05/27/2026","2339 MEDICO LN, COMMON, MELBOURNE FL 32940",,,
"26BC09450","Issued","RES HVAC-Mechanical","05/27/2026","6970 GLENHAVEN AVE, COCOA FL 32927",,,
"26FP00252","Final","County Alarm","05/27/2026","8225 N WICKHAM RD, ZOO, MELBOURNE FL 32940",,,
"26BC09433","Issued","Multi-Family Renovation","05/27/2026","3265 SAND CT, MELBOURNE BEACH FL 32951",,,
"26BC09461","Final","RES Doors-Windows-Shutters","05/27/2026","610 WOODBRIDGE DR, MELBOURNE FL 32940",,,
"26BC09386","Final","RES Plumbing","05/27/2026","2373 EDESTUS DR, MELBOURNE FL 32940",,,
"26BC09460","Final","RES HVAC-Mechanical","05/27/2026","7601 NORTHERN OAK ST, MELBOURNE FL 32904",,,
"26BC09475","Final","COM Reroof","05/27/2026","430 W MERRITT ISLAND CSWY, MERRITT ISLAND FL 32952",,,
"26BC09468","Final","RES HVAC-Mechanical","05/27/2026","2190 DUMAS ST, MERRITT ISLAND FL 32952",,,
"26BC09354","Issued","RES SFR Aluminum Structure","05/27/2026","2852 EDESTUS DR, MELBOURNE FL 32940",,,
"26BC09484","Issued","RES Plumbing","05/27/2026","4880 W KEY LARGO DR, TITUSVILLE FL 32780",,,
"26BC09465","Issued","RES HVAC-Mechanical","05/27/2026","1967 ALMA DR, MELBOURNE FL 32904",,,
"26BC09480","Final","RES Electrical","05/27/2026","2800 HARLOCK RD, MELBOURNE FL 32934",,,
"26BC09391","Awaiting Client Feedback","COM Miscellaneous","05/27/2026","2580 HIGHWAY A1A, CLUBHOUSE, MELBOURNE BEACH FL 32951",,,
"26BC09419","Issued","RES Doors-Windows-Shutters","05/27/2026","4360 WINDOVER WAY, MELBOURNE FL 32934",,,
"26BC09414","Final","RES Reroof","05/27/2026","5535 EAGLE WAY, MERRITT ISLAND FL 32953",,,
"26BC09378","Awaiting Client Feedback","RES Fence","05/27/2026","1705 MARYWOOD RD, MELBOURNE FL 32934",,,
"26BC09385","Final","RES Reroof","05/27/2026","2877 MOURNING DOVE WAY, TITUSVILLE FL 32780",,,
"26BC09455","Awaiting Client Feedback","RES SFR Addition","05/27/2026","4880 DIXIE WAY, MIMS FL 32754",,,
"26BC09462","Awaiting Client Feedback","RES SFR Addition","05/27/2026","4775 PINE NEEDLE ST, MIMS FL 32754",,,
"26BC09479","Issued","RES Doors-Windows-Shutters","05/27/2026","2852 WILLOW LAKES LN, TITUSVILLE FL 32796",,,
"26BC09299","Awaiting Client Feedback","RES Electrical","05/26/2026","1340 HOLIDAY BLVD, MERRITT ISLAND FL 32952",,,
"26BC09318","Issued","RES Pool","05/26/2026","3817 UPPER FLORIDIAN WAY, ROCKLEDGE FL 32955",,,
"26FP00247","Issued","City Fire Permit","05/26/2026","4985 SUNRISE ESTATES DR, WEST MELBOURNE FL 32904",,,
"26BC09274","Final","RES Reroof","05/26/2026","2697 NEWFOUND HARBOR DR, MERRITT ISLAND FL 32952",,,
"26BC09347","Awaiting Client Feedback","COM Miscellaneous","05/26/2026","2825 JUDGE FRAN JAMIESON WAY, CRTHS, MELBOURNE FL 32940",,,
"26BC09304","Issued","COM HVAC-Mechanical","05/26/2026","1915 S ATLANTIC AVE, UNIT 302, COCOA BEACH FL 32931",,,
"26BC09285","Issued","Multi-Family Renovation","05/26/2026","1835 S ATLANTIC AVE, 604, COCOA BEACH FL 32931",,,
"26BC09282","Issued","RES Solar Photovoltaic","05/26/2026","2560 TAMMY DR, MIMS FL 32754",,,
"26BC09254","Final","RES HVAC-Mechanical","05/26/2026","393 TIMBERLAKE DR, MELBOURNE FL 32940",,,
"26BC09323","Issued","RES Doors-Windows-Shutters","05/26/2026","303 LAKE VICTORIA CIR, MELBOURNE FL 32940",,,
"26BC09277","Issued","RES Doors-Windows-Shutters","05/26/2026","207 SYKES POINT LN, MERRITT ISLAND FL 32953",,,
"26BC09268","Issued","RES SFR Aluminum Structure","05/26/2026","1366 DONEGAL DR, MELBOURNE FL 32940",,,
"26BC09336","Issued","RES Doors-Windows-Shutters","05/26/2026","3348 LAMANGA DR, MELBOURNE FL 32940",,,
"26BC09289","Issued","RES Doors-Windows-Shutters","05/26/2026","919 OSPREY DR, MELBOURNE FL 32940",,,
"26BC09327","Final","RES Solar Photovoltaic","05/26/2026","670 ALCAZAR AVE, COCOA FL 32927",,,
"26BC09345","Issued","RES SFR Addition","05/26/2026","5100 SMITHFIELD, MELBOURNE FL 32934",,,
"26BC09279","Issued","RES HVAC-Mechanical","05/26/2026","5023 INDIGO WAY, MELBOURNE FL 32940",,,
"26BC09312","Issued","RES HVAC-Mechanical","05/26/2026","1211 BAREFOOT BLVD, BAREFOOT BAY FL 32976",,,
"26BC09292","Final","RES Fence","05/26/2026","6970 BRIGHT AVE, COCOA FL 32927",,,
"26BC09291","Final","RES Reroof","05/26/2026","2855 CITRUS DR, TITUSVILLE FL 32796",,,
"26BC09288","Issued","RES Doors-Windows-Shutters","05/26/2026","4855 KEY BISCAYNE DR, TITUSVILLE FL 32780",,,
"26BC09266","Final","RES Electrical","05/26/2026","1390 SCORPIOUS CT, MERRITT ISLAND FL 32953",,,
"26BC09272","Final","RES HVAC-Mechanical","05/26/2026","6945 BRIGHT AVE, COCOA FL 32927",,,
"26BC09261","Withdrawn","RES HVAC-Mechanical","05/26/2026","2080 S TROPICAL TRL, MERRITT ISLAND FL 32952",,,
"26BC09256","Final","RES HVAC-Mechanical","05/26/2026","510 INVERNESS AVE, MELBOURNE FL 32940",,,
"26BC09290","Final","RES HVAC-Mechanical","05/26/2026","2383 RODINA DR, MELBOURNE FL 32940",,,
"26FP00248","Issued","City Fire Permit","05/26/2026","4995 SUNRISE ESTATES DR, WEST MELBOURNE FL 32904",,,
"26BC09328","Final","RES Reroof","05/26/2026","4557 CANARD RD, MELBOURNE FL 32934",,,
"26BC09333","Issued","RES HVAC-Mechanical","05/26/2026","1253 VESTAVIA CIR, MELBOURNE FL 32940",,,
"26BC09255","Issued","RES Doors-Windows-Shutters","05/26/2026","1656 VISTA LAKE CIR, MELBOURNE FL 32904",,,
"26BC09251","Issued","RES SFR-Duplex New","05/26/2026","8041 WAXWING CIR, MELBOURNE FL 32940",,,
"26BC09303","Final","RES Reroof","05/26/2026","3143 BELLWIND CIR, ROCKLEDGE FL 32955",,,
"26BC09337","Withdrawn","RES Electrical","05/26/2026","135 N TWIN LAKES RD, COCOA FL 32926",,,
"26BC09263","Final","RES HVAC-Mechanical","05/26/2026","2394 GOLF VISTA BLVD, ROCKLEDGE FL 32955",,,
"26BC09315","Final","RES Doors-Windows-Shutters","05/26/2026","313 COUNTRY WALK ST, MELBOURNE FL 32940",,,
"26BC09344","Final","RES Reroof","05/26/2026","7160 BRIAR OAK DR, MERRITT ISLAND FL 32953",,,
"26BC09309","Issued","RES HVAC-Mechanical","05/26/2026","1440 MORGAN CT, MELBOURNE FL 32934",,,
"26BC09326","Issued","RES SFR Aluminum Structure","05/26/2026","3024 BLAZING STAR DR, MELBOURNE FL 32940",,,
"26BC09317","Final","RES Electrical","05/26/2026","25 WASHINGTON WAY, ROCKLEDGE FL 32955",,,
"26BC09253","Issued","RES HVAC-Mechanical","05/26/2026","1241 ELCON DR, MELBOURNE FL 32904",,,
"26BC09311","Issued","RES Doors-Windows-Shutters","05/26/2026","2220 ARRIVAS WAY, MELBOURNE FL 32940",,,
"26BC09321","Issued","RES Reroof","05/26/2026","5175 S TROPICAL TRL, MERRITT ISLAND FL 32952",,,
"26BC09283","Issued","RES Doors-Windows-Shutters","05/26/2026","2287 HOLDER RD, MIMS FL 32754",,,
"26BC09273","Final","RES Electrical","05/26/2026","6410 ABISCO RD, COCOA FL 32927",,,
"26BC09270","Final","RES HVAC-Mechanical","05/26/2026","312 MYRTLEWOOD RD, MELBOURNE FL 32940",,,
"26BC09334","Final","RES Plumbing","05/26/2026","412 ARROWHEAD LN, MELBOURNE BEACH FL 32951",,,
"26BC09284","Final","RES HVAC-Mechanical","05/26/2026","5755 EAGLE WAY, MERRITT ISLAND FL 32953",,,
"26BC09269","Final","RES Reroof","05/26/2026","765 S KEY LARGO DR, TITUSVILLE FL 32780",,,
"26BC09308","Issued","RES HVAC-Mechanical","05/26/2026","1002 BALMORAL WAY, MELBOURNE FL 32940",,,
"26BC09293","Final","RES Reroof","05/26/2026","1150 OLD PARSONAGE DR, MERRITT ISLAND FL 32952",,,
"26BC09305","Final","RES HVAC-Mechanical","05/26/2026","1355 CLUBHOUSE DR, ROCKLEDGE FL 32955",,,
"26BC09258","Final","COM Plumbing","05/26/2026","821 DEL RIO WAY, 502, MERRITT ISLAND FL 32953",,,
"26BC09350","Awaiting Client Feedback","RES SFR-Duplex New","05/26/2026","5665 WILLOUGHBY DR, MELBOURNE FL 32934",,,
"26BC09319","Withdrawn","RES Electrical","05/26/2026","443 BLUE JAY LN, SATELLITE BEACH FL 32937",,,
"26BC09335","Issued","RES Marine Construction","05/26/2026","1688 WAVECREST ST, MERRITT ISLAND FL 32952",,,
"26BC09280","Final","RES Pool Resurface","05/26/2026","2235 HAMLET DR, MELBOURNE FL 32934",,,
"26FP00250","Issued","City Fire Permit","05/26/2026","5015 SUNRISE ESTATES DR, WEST MELBOURNE FL 32904",,,
"26BC09329","Final","RES Plumbing","05/26/2026","3130 APPALOOSA BLVD, MELBOURNE FL 32934",,,
"26BC09281","Final","COM Reroof","05/26/2026","1130 N HIGHWAY A1A, INDIALANTIC FL 32903",,,
"26BC09314","Issued","RES Pool","05/26/2026","9824 RIVERVIEW DR, MICCO FL 32976",,,
"26BC09313","Final","RES Solar Photovoltaic","05/26/2026","3940 PINE CONE RD, MELBOURNE FL 32934",,,
"26BC09324","Issued","RES HVAC-Mechanical","05/26/2026","1860 BRITT RD, COCOA FL 32926",,,
"26BC09257","Issued","RES HVAC-Mechanical","05/26/2026","2484 ADDINGTON CIR, ROCKLEDGE FL 32955",,,
"26BC09306","Issued","RES HVAC-Mechanical","05/26/2026","101 30TH ST, COCOA BEACH FL 32931",,,
"26BC09330","Issued","RES HVAC-Mechanical","05/26/2026","230 ISLAND BEACH BLVD, MERRITT ISLAND FL 32952",,,
"26BC09307","Issued","RES Doors-Windows-Shutters","05/26/2026","265 CARIB DR, MERRITT ISLAND FL 32952",,,
"26BC09276","Issued","RES SFR Aluminum Structure","05/26/2026","6129 BALSAM ST, COCOA FL 32927",,,
"26BC09339","Issued","RES Generator","05/26/2026","846 MOORHEN CT, ROCKLEDGE FL 32955",,,
"26FP00245","Issued","City Fire Permit","05/26/2026","4965 SUNRISE ESTATES DR, WEST MELBOURNE FL 32904",,,
"26BC09271","Issued","RES Doors-Windows-Shutters","05/26/2026","3035 SAVOY DR, MELBOURNE FL 32940",,,
"26BC09298","Final","RES HVAC-Mechanical","05/26/2026","3783 SIERRA DR, MERRITT ISLAND FL 32953",,,
"26BC09348","Withdrawn","RES HVAC-Mechanical","05/26/2026","700 ALCAZAR AVE, COCOA FL 32927",,,
"26BC09294","Issued","RES Reroof","05/26/2026","3378 OKLAHOMA ST, TITUSVILLE FL 32796",,,
"26BC09340","Issued","COM Renovation","05/26/2026","333 N TROPICAL TRL, UNIT 105, MERRITT ISLAND FL 32953",,,
"26BC09260","Issued","COM Renovation","05/26/2026","2727 N HIGHWAY A1A, 101, INDIALANTIC FL 32903",,,
"26BC09259","Issued","RES Doors-Windows-Shutters","05/26/2026","4961 HAMLIN CIR, MIMS FL 32754",,,
"26BC09275","Withdrawn","RES Fence","05/26/2026","2580 HIGHWAY A1A, CLUBHOUSE, MELBOURNE BEACH FL 32951",,,
"26BC09346","Issued","RES SFR Renovation","05/26/2026","7929 CACHE CREEK LN, MELBOURNE FL 32940",,,
"26BC09320","Final","RES Reroof","05/26/2026","6400 EMBER AVE, COCOA FL 32927",,,
"26BC09287","Final","RES Reroof","05/26/2026","4605 LEE ST, COCOA FL 32926",,,
"26BC09278","Awaiting Client Feedback","COM Miscellaneous","05/26/2026","1995 VIERA BLVD, UNIT 104, ROCKLEDGE FL 32955",,,
"26FP00246","Issued","City Fire Permit","05/26/2026","4975 SUNRISE ESTATES DR, WEST MELBOURNE FL 32904",,,
"26BC09342","Issued","RES Doors-Windows-Shutters","05/26/2026","2364 ADDINGTON CIR, ROCKLEDGE FL 32955",,,
"26BC09351","Withdrawn","RES SFR Renovation","05/26/2026","3598 LOGGERHEAD LN, MIMS FL 32754",,,
"26BC09332","Issued","RES Plumbing","05/26/2026","8741 LAURASIA AVE, MELBOURNE FL 32940",,,
"26BC09267","Awaiting Client Feedback","RES SFR Aluminum Structure","05/26/2026","8622 BEDROCK LN, MELBOURNE FL 32940",,,
"26BC09341","Final","RES HVAC-Mechanical","05/26/2026","1176 POTOMAC DR, MERRITT ISLAND FL 32952",,,
"26BC09301","Final","RES HVAC-Mechanical","05/26/2026","3637 CAPPIO DR, MELBOURNE FL 32940",,,
"26BC09316","Issued","RES HVAC-Mechanical","05/26/2026","8201 BARROSA CIR, MELBOURNE FL 32940",,,
"26FP00249","Issued","City Fire Permit","05/26/2026","5005 SUNRISE ESTATES DR, WEST MELBOURNE FL 32904",,,
"26BC09343","Issued","RES HVAC-Mechanical","05/26/2026","5125 PALM DR, MELBOURNE BEACH FL 32951",,,
"26BC09265","Final","RES Reroof","05/26/2026","1345 SCORPIOUS CT, MERRITT ISLAND FL 32953",,,
"26BC09252","Issued","RES HVAC-Mechanical","05/26/2026","611 E LAKESHORE DR, 121, COCOA FL 32926",,,
"26BC09349","Final","RES Electrical","05/26/2026","350 AMBERJACK PL, MELBOURNE BEACH FL 32951",,,
"26BC09264","Final","RES Reroof","05/26/2026","1345 SCORPIOUS CT, MERRITT ISLAND FL 32953",,,
